orf_length_med	shannon_slope	at_skew	gc_skew	max_direction
4.5	0	1.056517957080374	0.8019539530538985	8
-57.0	0	3.9388143172662597	0.7037206661489831	8
4.5	0	3.393611608905243	0.7508403582050972	8
99.0	0	3.770175886123834	0.7549187443887643	8
4.5	0	1.6573535677923865	0.7695266224474426	8
-57.0	0	1.3620957189644358	0.75281324406653	8
4.5	0	1.5845174908975364	0.8098716811609243	9
81.0	0	0.7000782918617284	0.776158436734615	10
27.0	0	0.4781163210760665	0.8451738653972982	11
66.0	0	0.9145782108713418	0.8014890299786013	12
73.5	0	1.433751415958358	0.8067735474075934	13
81.0	0	2.165784694509209	0.8845981411339772	14
27.0	0	1.7121042537775721	0.9480900625967985	14
-12.0	0	1.7981233048789376	0.9721953824312781	14
27.0	0	1.7905893773390456	0.9723634070949083	14
81.0	0	2.3088628147722816	0.9345959521481376	14
73.5	0	2.4797619014910803	0.956815003574985	15
81.0	0	1.387448445628492	0.93985490586258	16
73.5	0	1.9584115333901861	0.9296786011782805	16
99.0	0	2.4686619385941198	0.9190802281207416	16
90.0	0	2.447408803710145	0.9381495874406426	16
73.5	0	2.5119158585677397	0.9863234134488053	16
73.5	0	1.4313066092228413	0.97952733390609	16
27.0	0	1.085821245076068	0.9550586905220899	16
73.5	0	0.31458132618525275	1.0345463488082436	17
73.5	0	0.36735969172550803	1.0470869565095902	18
37.5	0	0.9029349728730038	1.0641367838732352	18
-1.5	0	0.3781280520685831	1.0343918519484616	18
-1.5	0	0.3683728365525228	0.9900497014466891	18
37.5	0	1.3930079368247688	0.9831189004448198	18
73.5	0	1.7987424762663817	0.9470615726298205	18
94.5	0	1.469655752131068	0.9791062511111774	18
73.5	0	0.5062653295151532	1.0380555828386022	18
37.5	0	0.5278541330417424	1.0497222940125428	18
-1.5	0	1.5367923333577092	1.027361243861193	18
-1.5	0	1.459032979741904	1.0734824219376151	18
37.5	0	1.488495756411717	1.0475882580575633	18
37.5	0	3.036938534534159	0.9997477244003721	18
-1.5	0	3.909142497655855	0.9597564993166908	18
45.0	0	3.791573081488348	0.9014217829516561	18
94.5	0	3.6765300428760046	0.9492810283231233	18
94.5	0	1.7570211831027611	1.003185065489788	18
63.0	0	0.24645457587283798	1.0496052700598393	17
27.0	0	0.13313944000684924	1.079237751155331	16
63.0	0	0.36082163284262314	1.0740339792805966	15
94.5	0	0.3179810937140237	1.0701747618439248	14
94.5	0	0.2885870850146669	1.0071571578589105	14
76.5	0	0.5107023231354741	1.0652568573767027	14
129.0	0	0.559662450910251	1.078886280231747	14
76.5	0	0.7683115561973317	1.105998550797782	14
76.5	0	0.4992042414384184	1.0869626054736854	14
129.0	0	0.8609254650711614	1.0135884954225411	14
153.0	0	0.1068420407143407	0.9463691426535961	14
153.0	0	0.041237364480141696	0.9187364059134805	14
153.0	0	0.18094514264540731	0.9419481887323693	14
130.5	0	0.6073559311281507	1.0012680723334146	14
